time_step,t1,t2,t3,t4,t5,time_step,t6,t7,t8,t9,t10,t11,Case_fanuc,Case_sixdof
0.000000,0.000000,1.570796,-1.570796,0.000000,0.000000,0.000000,0.000000,1.570796,0.000000,0.000000,0.000000,0.000000,1,1
0.004167,0.001351,1.572069,-1.573938,0.002273,0.001351,0.004167,0.001852,1.572937,-0.003142,0.000000,-0.003142,0.001852,1,1
0.008333,0.002706,1.573336,-1.577080,0.004341,0.002706,0.008333,0.003711,1.575071,-0.006283,0.000000,-0.006283,0.003711,1,1
0.012500,0.004063,1.574597,-1.580221,0.006311,0.004063,0.012500,0.005577,1.577199,-0.009425,0.000000,-0.009425,0.005577,1,1
0.016667,0.005423,1.575852,-1.583363,0.008234,0.005423,0.016667,0.007450,1.579321,-0.012566,0.000000,-0.012566,0.007450,1,1
0.020833,0.006786,1.577102,-1.586504,0.010137,0.006786,0.020833,0.009330,1.581438,-0.015708,0.000000,-0.015708,0.009330,1,1
0.025000,0.008152,1.578345,-1.589646,0.012033,0.008152,0.025000,0.011217,1.583548,-0.018850,0.000000,-0.018850,0.011217,1,1
0.029167,0.009521,1.579583,-1.592787,0.013929,0.009521,0.029167,0.013112,1.585652,-0.021991,0.000000,-0.021991,0.013112,1,1
0.033333,0.010893,1.580814,-1.595929,0.015827,0.010893,0.033333,0.015014,1.587750,-0.025133,0.000000,-0.025133,0.015014,1,1
0.037500,0.012269,1.582040,-1.599071,0.017729,0.012269,0.037500,0.016922,1.589842,-0.028274,0.000000,-0.028274,0.016922,1,1
0.041667,0.013647,1.583259,-1.602212,0.019637,0.013647,0.041667,0.018839,1.591927,-0.031416,0.000000,-0.031416,0.018839,1,1
0.045833,0.015028,1.584472,-1.605354,0.021551,0.015028,0.045833,0.020762,1.594007,-0.034558,0.000000,-0.034558,0.020762,1,1
0.050000,0.016412,1.585679,-1.608495,0.023470,0.016412,0.050000,0.022693,1.596081,-0.037699,0.000000,-0.037699,0.022693,1,1
0.054167,0.017800,1.586880,-1.611637,0.025396,0.017800,0.054167,0.024631,1.598148,-0.040841,0.000000,-0.040841,0.024631,1,1
0.058333,0.019190,1.588075,-1.614779,0.027327,0.019190,0.058333,0.026576,1.600209,-0.043982,0.000000,-0.043982,0.026576,1,1
0.062500,0.020583,1.589264,-1.617920,0.029265,0.020583,0.062500,0.028529,1.602265,-0.047124,0.000000,-0.047124,0.028529,1,1
0.066667,0.021980,1.590446,-1.621062,0.031209,0.021980,0.066667,0.030489,1.604314,-0.050265,0.000000,-0.050265,0.030489,1,1
0.070833,0.023379,1.591623,-1.624203,0.033159,0.023379,0.070833,0.032456,1.606356,-0.053407,0.000000,-0.053407,0.032456,1,1
0.075000,0.024782,1.592793,-1.627345,0.035116,0.024782,0.075000,0.034431,1.608393,-0.056549,0.000000,-0.056549,0.034431,1,1
0.079167,0.026188,1.593956,-1.630487,0.037079,0.026188,0.079167,0.036414,1.610423,-0.059690,0.000000,-0.059690,0.036414,1,1
0.083333,0.027596,1.595113,-1.633628,0.039048,0.027596,0.083333,0.038403,1.612448,-0.062832,0.000000,-0.062832,0.038403,1,1
0.087500,0.029008,1.596264,-1.636770,0.041023,0.029008,0.087500,0.040401,1.614466,-0.065973,0.000000,-0.065973,0.040401,1,1
0.091667,0.030423,1.597409,-1.639911,0.043005,0.030423,0.091667,0.042406,1.616477,-0.069115,0.000000,-0.069115,0.042406,1,1
0.095833,0.031841,1.598547,-1.643053,0.044994,0.031841,0.095833,0.044418,1.618483,-0.072257,0.000000,-0.072257,0.044418,1,1
0.100000,0.033262,1.599679,-1.646195,0.046989,0.033262,0.100000,0.046438,1.620482,-0.075398,0.000000,-0.075398,0.046438,1,1
0.104167,0.034686,1.600804,-1.649336,0.048990,0.034686,0.104167,0.048466,1.622475,-0.078540,0.000000,-0.078540,0.048466,1,1
0.108333,0.036113,1.601923,-1.652478,0.050998,0.036113,0.108333,0.050501,1.624461,-0.081681,0.000000,-0.081681,0.050501,1,1
0.112500,0.037543,1.603035,-1.655619,0.053013,0.037543,0.112500,0.052544,1.626442,-0.084823,0.000000,-0.084823,0.052544,1,1
0.116667,0.038977,1.604140,-1.658761,0.055034,0.038977,0.116667,0.054594,1.628416,-0.087965,0.000000,-0.087965,0.054594,1,1
0.120833,0.040413,1.605239,-1.661903,0.057061,0.040413,0.120833,0.056652,1.630383,-0.091106,0.000000,-0.091106,0.056652,1,1
0.125000,0.041853,1.606331,-1.665044,0.059096,0.041853,0.125000,0.058718,1.632344,-0.094248,0.000000,-0.094248,0.058718,1,1
0.129167,0.043296,1.607417,-1.668186,0.061137,0.043296,0.129167,0.060792,1.634299,-0.097389,0.000000,-0.097389,0.060792,1,1
0.133333,0.044741,1.608496,-1.671327,0.063184,0.044741,0.133333,0.062873,1.636247,-0.100531,0.000000,-0.100531,0.062873,1,1
0.137500,0.046190,1.609568,-1.674469,0.065239,0.046190,0.137500,0.064962,1.638189,-0.103673,0.000000,-0.103673,0.064962,1,1
0.141667,0.047642,1.610633,-1.677610,0.067300,0.047642,0.141667,0.067059,1.640125,-0.106814,0.000000,-0.106814,0.067059,1,1
0.145833,0.049098,1.611692,-1.680752,0.069368,0.049098,0.145833,0.069164,1.642054,-0.109956,0.000000,-0.109956,0.069164,1,1
0.150000,0.050556,1.612744,-1.683894,0.071443,0.050556,0.150000,0.071277,1.643976,-0.113097,0.000000,-0.113097,0.071277,1,1
0.154167,0.052017,1.613788,-1.687035,0.073525,0.052017,0.154167,0.073397,1.645892,-0.116239,0.000000,-0.116239,0.073397,1,1
0.158333,0.053482,1.614826,-1.690177,0.075614,0.053482,0.158333,0.075525,1.647802,-0.119381,0.000000,-0.119381,0.075525,1,1
0.162500,0.054950,1.615857,-1.693318,0.077709,0.054950,0.162500,0.077662,1.649704,-0.122522,0.000000,-0.122522,0.077662,1,1
0.166667,0.056420,1.616881,-1.696460,0.079812,0.056420,0.166667,0.079806,1.651601,-0.125664,0.000000,-0.125664,0.079806,1,1
0.170833,0.057894,1.617898,-1.699602,0.081922,0.057894,0.170833,0.081958,1.653491,-0.128805,0.000000,-0.128805,0.081958,1,1
0.175000,0.059372,1.618908,-1.702743,0.084039,0.059372,0.175000,0.084118,1.655374,-0.131947,0.000000,-0.131947,0.084118,1,1
0.179167,0.060852,1.619911,-1.705885,0.086162,0.060852,0.179167,0.086286,1.657250,-0.135088,0.000000,-0.135088,0.086286,1,1
0.183333,0.062335,1.620906,-1.709026,0.088293,0.062335,0.183333,0.088462,1.659120,-0.138230,0.000000,-0.138230,0.088462,1,1
0.187500,0.063822,1.621895,-1.712168,0.090432,0.063822,0.187500,0.090646,1.660983,-0.141372,0.000000,-0.141372,0.090646,1,1
0.191667,0.065312,1.622876,-1.715310,0.092577,0.065312,0.191667,0.092839,1.662839,-0.144513,0.000000,-0.144513,0.092839,1,1
0.195833,0.066805,1.623850,-1.718451,0.094730,0.066805,0.195833,0.095039,1.664689,-0.147655,0.000000,-0.147655,0.095039,1,1
0.200000,0.068301,1.624817,-1.721593,0.096890,0.068301,0.200000,0.097247,1.666532,-0.150796,0.000000,-0.150796,0.097247,1,1
0.204167,0.069800,1.625776,-1.724734,0.099057,0.069800,0.204167,0.099464,1.668368,-0.153938,0.000000,-0.153938,0.099464,1,1
0.208333,0.071302,1.626728,-1.727876,0.101232,0.071302,0.208333,0.101688,1.670198,-0.157080,0.000000,-0.157080,0.101688,1,1
0.212500,0.072808,1.627673,-1.731018,0.103414,0.072808,0.212500,0.103921,1.672020,-0.160221,0.000000,-0.160221,0.103921,1,1
